,id,listing_url,latitude,longitude,neighbourhood_group_cleansed
379,3350417,https://www.airbnb.com/rooms/3350417,40.67172,-73.95703,Brooklyn
380,3283729,https://www.airbnb.com/rooms/3283729,40.77787,-73.95104,Manhattan
381,3393999,https://www.airbnb.com/rooms/3393999,40.67309,-73.93048,Brooklyn
382,3359510,https://www.airbnb.com/rooms/3359510,40.72623,-73.94128,Brooklyn
383,724798950643635174,https://www.airbnb.com/rooms/724798950643635174,40.64546,-73.9429,Brooklyn
385,5236234,https://www.airbnb.com/rooms/5236234,40.78633,-73.95218,Manhattan
386,681231713021457400,https://www.airbnb.com/rooms/681231713021457400,40.633670359069306,-73.97068361550586,Brooklyn
389,6262562,https://www.airbnb.com/rooms/6262562,40.71305,-73.85147,Queens
390,6262339,https://www.airbnb.com/rooms/6262339,40.85342,-73.94049,Manhattan
391,5470350,https://www.airbnb.com/rooms/5470350,40.81597,-73.94705,Manhattan
392,5327598,https://www.airbnb.com/rooms/5327598,40.72372,-73.98523,Manhattan
393,5562962,https://www.airbnb.com/rooms/5562962,40.77389,-73.94956,Manhattan
395,6404584,https://www.airbnb.com/rooms/6404584,40.67543,-73.95923,Brooklyn
396,1014451706512063588,https://www.airbnb.com/rooms/1014451706512063588,40.690182570153176,-73.94536630201246,Brooklyn
397,5681745,https://www.airbnb.com/rooms/5681745,40.73125,-73.95905,Brooklyn
399,5749889,https://www.airbnb.com/rooms/5749889,40.66801,-73.98142,Brooklyn
401,5718935,https://www.airbnb.com/rooms/5718935,40.79679,-73.96105,Manhattan
404,5826468,https://www.airbnb.com/rooms/5826468,40.79552,-73.94231,Manhattan
408,6337725,https://www.airbnb.com/rooms/6337725,40.81349,-73.95125,Manhattan
409,6359266,https://www.airbnb.com/rooms/6359266,40.81444,-73.95863,Manhattan
410,4807899,https://www.airbnb.com/rooms/4807899,40.80434,-73.95476,Manhattan
413,6087827,https://www.airbnb.com/rooms/6087827,40.69903,-73.9412,Brooklyn
414,6179500,https://www.airbnb.com/rooms/6179500,40.74174,-73.97878,Manhattan
415,4847177,https://www.airbnb.com/rooms/4847177,40.68574,-73.99055,Brooklyn
416,4846877,https://www.airbnb.com/rooms/4846877,40.67226,-73.95669,Brooklyn
418,4909438,https://www.airbnb.com/rooms/4909438,40.73053,-73.98279,Manhattan
419,5006927,https://www.airbnb.com/rooms/5006927,40.70547,-73.91432,Queens
420,5115534,https://www.airbnb.com/rooms/5115534,40.70767,-73.94818,Brooklyn
421,6168331,https://www.airbnb.com/rooms/6168331,40.69448,-73.93107,Brooklyn
422,5055033,https://www.airbnb.com/rooms/5055033,40.72244,-73.94561,Brooklyn
423,5181720,https://www.airbnb.com/rooms/5181720,40.69092,-73.90443,Brooklyn
424,7726296,https://www.airbnb.com/rooms/7726296,40.68927,-73.95277,Brooklyn
425,807172063275763015,https://www.airbnb.com/rooms/807172063275763015,40.66493199052873,-73.81553072356431,Queens
427,7340318,https://www.airbnb.com/rooms/7340318,40.72138,-73.94709,Brooklyn
429,7361434,https://www.airbnb.com/rooms/7361434,40.64871,-73.95981,Brooklyn
431,49114361,https://www.airbnb.com/rooms/49114361,40.7367,-73.98407,Manhattan
433,6479956,https://www.airbnb.com/rooms/6479956,40.66753,-73.97747,Brooklyn
435,7435882,https://www.airbnb.com/rooms/7435882,40.70647,-73.92093,Brooklyn
436,6550596,https://www.airbnb.com/rooms/6550596,40.81781,-73.9347,Manhattan
437,6523409,https://www.airbnb.com/rooms/6523409,40.66923,-73.98134,Brooklyn
439,6574353,https://www.airbnb.com/rooms/6574353,40.6809,-73.95527,Brooklyn
440,6626894,https://www.airbnb.com/rooms/6626894,40.78473,-73.98466,Manhattan
441,6651070,https://www.airbnb.com/rooms/6651070,40.76813,-73.93081,Queens
442,7563487,https://www.airbnb.com/rooms/7563487,40.70939,-73.94218,Brooklyn
444,6687933,https://www.airbnb.com/rooms/6687933,40.71748,-73.98364,Manhattan
446,7560658,https://www.airbnb.com/rooms/7560658,40.70781,-73.96916,Brooklyn
447,6757821,https://www.airbnb.com/rooms/6757821,40.81563,-73.96125,Manhattan
448,6738524,https://www.airbnb.com/rooms/6738524,40.73231,-73.95327,Brooklyn
449,49225747,https://www.airbnb.com/rooms/49225747,40.78763,-73.94769,Manhattan
450,6807281,https://www.airbnb.com/rooms/6807281,40.66,-73.96154,Brooklyn
